task_id,asset_id,task_type,priority,status,creation_date
T0001,A192,repair,low,completed,2025-08-09
T0002,A005,repair,low,open,2025-09-30
T0003,A100,inspection,medium,open,2025-08-28
T0004,A070,repair,medium,open,2025-10-21
T0005,A090,repair,high,open,2025-10-13
T0006,A004,inspection,medium,open,2025-09-14
T0007,A126,inspection,medium,open,2025-08-13
T0008,A039,repair,low,completed,2025-09-19
T0009,A163,repair,medium,open,2025-08-12
T0010,A129,repair,medium,scheduled,2025-10-15
T0011,A024,repair,low,open,2025-08-20
T0012,A057,inspection,low,open,2025-08-26
T0013,A100,inspection,high,completed,2025-09-29
T0014,A070,inspection,medium,completed,2025-09-16
T0015,A041,repair,low,scheduled,2025-08-28
T0016,A182,repair,high,scheduled,2025-11-06
T0017,A174,repair,high,completed,2025-09-29
T0018,A060,repair,medium,completed,2025-10-01
T0019,A108,inspection,medium,open,2025-10-11
T0020,A188,inspection,high,completed,2025-09-12
T0021,A057,repair,low,scheduled,2025-08-24
T0022,A031,inspection,high,open,2025-08-21
T0023,A084,repair,medium,scheduled,2025-08-15
T0024,A152,repair,low,open,2025-09-26
T0025,A036,inspection,low,completed,2025-09-08
T0026,A158,repair,high,scheduled,2025-09-11
T0027,A152,repair,medium,open,2025-09-11
T0028,A108,inspection,high,open,2025-08-12
T0029,A106,repair,high,completed,2025-10-10
T0030,A158,repair,high,completed,2025-09-02
T0031,A086,inspection,low,completed,2025-09-07
T0032,A135,repair,low,scheduled,2025-10-16
T0033,A163,inspection,medium,open,2025-08-14
T0034,A183,repair,medium,completed,2025-10-27
T0035,A014,inspection,high,scheduled,2025-10-01
T0036,A120,inspection,high,scheduled,2025-09-02
T0037,A138,inspection,high,scheduled,2025-08-14
T0038,A080,repair,medium,completed,2025-08-17
T0039,A144,inspection,low,completed,2025-08-19
T0040,A182,inspection,low,open,2025-09-25
T0041,A106,inspection,high,open,2025-10-26
T0042,A070,inspection,high,completed,2025-10-07
T0043,A044,inspection,high,scheduled,2025-08-12
T0044,A073,repair,high,scheduled,2025-09-28
T0045,A045,repair,medium,scheduled,2025-10-09
T0046,A184,repair,low,open,2025-10-12
T0047,A107,repair,high,scheduled,2025-10-19
T0048,A084,repair,medium,open,2025-11-03
T0049,A082,repair,high,open,2025-11-01
T0050,A107,repair,high,scheduled,2025-10-06
T0051,A185,inspection,low,scheduled,2025-09-07
T0052,A021,repair,high,completed,2025-08-20
T0053,A196,inspection,low,completed,2025-10-28
T0054,A178,inspection,low,scheduled,2025-09-09
T0055,A161,repair,low,open,2025-09-14
T0056,A007,inspection,medium,open,2025-08-18
T0057,A070,inspection,medium,open,2025-08-25
T0058,A127,inspection,low,open,2025-10-13
T0059,A143,inspection,high,open,2025-08-09
T0060,A160,repair,low,completed,2025-09-18
T0061,A148,repair,high,scheduled,2025-09-04
T0062,A143,repair,low,completed,2025-09-16
T0063,A176,repair,high,open,2025-10-06
T0064,A199,repair,medium,open,2025-10-19
T0065,A149,repair,high,open,2025-08-15
T0066,A170,repair,low,open,2025-08-10
T0067,A154,repair,medium,scheduled,2025-11-06
T0068,A120,repair,high,open,2025-10-24
T0069,A128,repair,high,scheduled,2025-09-13
T0070,A142,inspection,high,open,2025-10-09
T0071,A057,repair,high,scheduled,2025-10-15
T0072,A165,inspection,high,completed,2025-08-09
T0073,A058,inspection,medium,open,2025-09-01
T0074,A021,inspection,medium,scheduled,2025-09-08
T0075,A082,inspection,medium,completed,2025-10-31
T0076,A069,repair,medium,open,2025-08-27
T0077,A131,inspection,low,open,2025-10-06
T0078,A087,repair,medium,open,2025-10-22
T0079,A165,repair,high,scheduled,2025-09-09
T0080,A049,inspection,high,scheduled,2025-10-20
T0081,A147,repair,medium,completed,2025-09-08
T0082,A115,inspection,high,scheduled,2025-08-13
T0083,A089,inspection,medium,scheduled,2025-08-31
T0084,A085,repair,high,open,2025-08-27
T0085,A128,repair,low,open,2025-08-22
T0086,A140,inspection,low,open,2025-09-27
T0087,A189,repair,medium,open,2025-09-11
T0088,A169,repair,medium,open,2025-08-20
T0089,A161,repair,medium,open,2025-09-03
T0090,A178,inspection,high,open,2025-09-13
T0091,A117,inspection,medium,completed,2025-08-28
T0092,A196,repair,low,completed,2025-09-10
T0093,A127,repair,high,completed,2025-10-17
T0094,A071,repair,medium,completed,2025-09-07
T0095,A086,repair,high,open,2025-09-10
T0096,A033,repair,high,completed,2025-10-04
T0097,A081,inspection,medium,open,2025-10-06
T0098,A152,repair,high,completed,2025-08-17
T0099,A061,inspection,low,scheduled,2025-10-02
T0100,A061,repair,low,completed,2025-09-01
T0101,A098,inspection,high,completed,2025-09-05
T0102,A028,repair,medium,open,2025-08-18
T0103,A186,inspection,high,completed,2025-10-07
T0104,A043,repair,low,scheduled,2025-10-02
T0105,A169,inspection,high,open,2025-09-11
T0106,A167,inspection,high,open,2025-10-28
T0107,A086,inspection,low,completed,2025-10-01
T0108,A177,inspection,high,open,2025-10-07
T0109,A017,inspection,high,open,2025-10-03
T0110,A098,inspection,medium,open,2025-09-25
T0111,A198,repair,medium,open,2025-09-27
T0112,A198,inspection,low,open,2025-08-29
T0113,A098,repair,low,open,2025-10-27
T0114,A065,repair,low,scheduled,2025-10-20
T0115,A074,repair,medium,completed,2025-10-18
T0116,A085,repair,low,scheduled,2025-10-08
T0117,A005,repair,low,open,2025-09-18
T0118,A002,inspection,low,open,2025-08-10
T0119,A022,inspection,medium,completed,2025-10-18
T0120,A112,inspection,high,scheduled,2025-08-08
T0121,A057,repair,low,completed,2025-10-10
T0122,A066,inspection,high,scheduled,2025-10-29
T0123,A074,inspection,low,open,2025-09-14
T0124,A098,inspection,high,completed,2025-09-15
T0125,A144,inspection,medium,completed,2025-09-25
T0126,A112,inspection,medium,open,2025-08-29
T0127,A179,repair,low,completed,2025-09-08
T0128,A125,inspection,high,scheduled,2025-09-14
T0129,A167,repair,medium,scheduled,2025-10-30
T0130,A086,repair,low,scheduled,2025-10-11
T0131,A076,repair,low,scheduled,2025-09-14
T0132,A088,repair,medium,open,2025-09-18
T0133,A168,repair,medium,completed,2025-08-24
T0134,A038,inspection,low,scheduled,2025-08-09
T0135,A188,inspection,high,open,2025-11-04
T0136,A059,inspection,high,completed,2025-08-25
T0137,A138,repair,high,completed,2025-09-19
T0138,A099,inspection,low,open,2025-09-06
T0139,A192,inspection,medium,open,2025-11-06
T0140,A063,repair,low,scheduled,2025-09-22
T0141,A049,repair,medium,completed,2025-09-29
T0142,A192,repair,high,completed,2025-09-18
T0143,A032,repair,high,open,2025-09-14
T0144,A135,inspection,medium,completed,2025-08-30
T0145,A021,repair,medium,scheduled,2025-08-29
T0146,A020,repair,low,completed,2025-08-21
T0147,A154,inspection,high,open,2025-10-09
T0148,A127,inspection,low,open,2025-09-05
T0149,A068,repair,low,scheduled,2025-10-09
T0150,A110,inspection,low,scheduled,2025-10-03
